Date,Close,High,Low,Open,Volume,Ticker,BTC-USD_Close,Global_Close
2023-11-14,56.838375091552734,57.730106353759766,51.71446228027344,51.90221786499024,3195616616,SOL-USD,,
2023-11-14,24879.521484375,25232.14461484687,24566.0780895404,25036.242263502896,31806119,SSI.VN,,
2023-11-14,57108.234375,57440.26005313002,56709.8066635991,57108.234375,1624317,VCB.VN,,
2023-11-14,22475.0,22750.0,22250.0,22475.0,7814200,VIC.VN,,
2023-11-14,0.6296730041503906,0.6714940071105957,0.6076170206069946,0.6714940071105957,2298949026,XRP-USD,,
2023-11-14,35537.640625,36753.3515625,34948.5,36491.7890625,23857403554,bitcoin_data,,
2023-11-14,,,,,,bitcoin_data_global,35537.640625,35537.640625
2023-11-15,0.3792920112609863,0.3792920112609863,0.3545100092887878,0.3578819930553436,400207664,ADA-USD,,
2023-11-15,253.75534057617188,254.1817779541016,242.26116943359372,242.281005859375,921052035,BNB-USD,,
2023-11-15,37880.58203125,37964.89453125,35383.78125,35548.11328125,27365821679,BTC-USD,,
2023-11-15,2060.408447265625,2061.99169921875,1968.774658203125,1979.47265625,12626326991,ETH-USD,,
2023-11-15,67314.75,68334.67091072946,67023.34832666932,68261.8242559148,3900448,FPT.VN,,
2023-11-15,20454.544921875,21060.60546875,20454.544921875,20871.212890625,45926758,HPG.VN,,
2023-11-15,40979.91796875,41566.74256973449,40441.99541784755,41468.93846957041,12890300,MWG.VN,,
2023-11-15,65.5344009399414,66.86766815185547,56.30898666381836,56.83993911743164,3793937162,SOL-USD,,
2023-11-15,25036.2421875,25702.30871078448,24997.062451981667,25702.30871078448,33505799,SSI.VN,,
2023-11-15,58237.1171875,58237.1171875,57440.25791639684,57440.25791639684,6238336,VCB.VN,,
2023-11-15,22700.0,22800.0,22450.0,22700.0,12559000,VIC.VN,,
2023-11-15,0.6496480107307434,0.6501539945602417,0.6265640258789062,0.629725992679596,1441133011,XRP-USD,,
2023-11-15,37880.58203125,37964.89453125,35383.78125,35548.11328125,27365821679,bitcoin_data,,
2023-11-15,,,,,,bitcoin_data_global,37880.58203125,37880.58203125
2023-11-16,0.3717660009860992,0.4085249900817871,0.3620989918708801,0.3792830109596252,784296833,ADA-USD,,
2023-11-16,242.7588806152344,255.5850372314453,240.67567443847656,253.74478149414065,950453378,BNB-USD,,
2023-11-16,36154.76953125,37934.625,35545.47265625,37879.98046875,26007385366,BTC-USD,,
2023-11-16,1960.881591796875,2088.662353515625,1940.57421875,2059.9658203125,14651619483,ETH-USD,,
2023-11-16,67751.8515625,67751.8515625,66731.9307793442,67169.0407617017,3248589,FPT.VN,,
2023-11-16,20606.060546875,20606.060546875,20303.03125,20340.908203125,21556918,HPG.VN,,
2023-11-16,40588.703125,40686.50722891567,39806.2702936747,40588.703125,10586200,MWG.VN,,
2023-11-16,57.87140274047852,67.99214935302734,56.81013107299805,65.53944396972656,3922608772,SOL-USD,,
2023-11-16,25310.50390625,25310.50390625,24566.077914959315,24997.062350221702,22887719,SSI.VN,,
2023-11-16,58436.33203125,58436.33203125,57573.070714640446,57772.28456632389,2008981,VCB.VN,,
2023-11-16,22550.0,22700.0,22425.0,22700.0,4766600,VIC.VN,,
2023-11-16,0.61216801404953,0.652059018611908,0.6074169874191284,0.6496090292930603,1756409884,XRP-USD,,
2023-11-16,36154.76953125,37934.625,35545.47265625,37879.98046875,26007385366,bitcoin_data,,
2023-11-16,,,,,,bitcoin_data_global,36154.76953125,36154.76953125
2023-11-17,0.3666090071201324,0.3781569898128509,0.3551070094108581,0.3717910051345825,419332542,ADA-USD,,
2023-11-17,244.745361328125,245.9875946044922,238.9996490478516,242.83995056152344,788884171,BNB-USD,,
2023-11-17,36596.68359375,36704.484375,35901.234375,36164.82421875,22445028430,BTC-USD,,
2023-11-17,1961.28076171875,1990.050537109375,1910.4454345703125,1961.8675537109373,11881648738,ETH-USD,,
2023-11-17,66294.828125,68116.11490145193,66003.42645590781,68043.26824769685,5093342,FPT.VN,,
2023-11-17,20075.7578125,20757.576171875,19924.2421875,20606.060546875,57246946,HPG.VN,,
2023-11-17,40490.8984375,41566.74356506643,39757.36766870471,40588.70254000604,11045900,MWG.VN,,
2023-11-17,58.41593551635742,60.416290283203125,54.5516471862793,57.92103958129883,3185454735,SOL-USD,,
2023-11-17,24683.619140625,25545.586180961825,24370.17574569397,25349.685666136385,35145359,SSI.VN,,
2023-11-17,56842.61328125,58369.92981381951,56776.211249529086,58303.52390415479,2531035,VCB.VN,,
2023-11-17,21100.0,22600.0,21075.0,22600.0,23412400,VIC.VN,,
2023-11-17,0.6137170195579529,0.6238399744033813,0.5899869799613953,0.6121990084648132,1462505199,XRP-USD,,
2023-11-17,36596.68359375,36704.484375,35901.234375,36164.82421875,22445028430,bitcoin_data,,
2023-11-17,,,,,,bitcoin_data_global,36596.68359375,36596.68359375
2023-11-18,0.3776940107345581,0.3777289986610412,0.3510220050811767,0.366795003414154,350054655,ADA-USD,,
2023-11-18,244.9507598876953,245.35305786132807,239.28082275390625,244.7462615966797,679630905,BNB-USD,,
2023-11-18,36585.703125,36839.28125,36233.3125,36625.37109375,11886022717,BTC-USD,,
2023-11-18,1963.2850341796875,1971.4622802734373,1921.0623779296875,1961.6712646484373,8064677046,ETH-USD,,
2023-11-18,58.512725830078125,59.28344345092773,55.062313079833984,58.39267349243164,1942321169,SOL-USD,,
2023-11-18,0.6111890077590942,0.6144880056381226,0.5933169722557068,0.6137380003929138,836754904,XRP-USD,,
2023-11-18,36585.703125,36839.28125,36233.3125,36625.37109375,11886022717,bitcoin_data,,
2023-11-18,,,,,,bitcoin_data_global,36585.703125,36585.703125
2023-11-19,0.3845250010490417,0.3853659927845001,0.3702619969844818,0.3776879906654358,308083348,ADA-USD,,
2023-11-19,246.58778381347656,246.93626403808597,242.4235076904297,244.9676818847656,618053586,BNB-USD,,
2023-11-19,37386.546875,37509.35546875,36414.59765625,36585.765625,12915986553,BTC-USD,,
2023-11-19,2013.2044677734373,2015.6339111328125,1944.90087890625,1963.1800537109373,7716048818,ETH-USD,,
2023-11-19,61.39355850219727,62.02115249633789,56.88264846801758,58.52428436279297,1998656461,SOL-USD,,
2023-11-19,0.627498984336853,0.6287199854850769,0.6030430197715759,0.6111869812011719,960738459,XRP-USD,,
